Date,YPF,PAM,VIST,EC,PBR,^GSPC,^IXIC,XLE
2020-08-10 00:00:00-04:00,6.239999771118164,11.229999542236328,3.440000057220459,6.317261695861816,2.808394432067871,3360.469970703125,10968.3603515625,31.332088470458984
2020-08-11 00:00:00-04:00,5.900000095367432,11.020000457763672,3.25,6.33914041519165,2.792491912841797,3333.68994140625,10782.8203125,31.225828170776367
2020-08-12 00:00:00-04:00,5.570000171661377,10.550000190734863,3.0199999809265137,6.475877285003662,2.79567289352417,3380.35009765625,11012.240234375,31.536455154418945
2020-08-13 00:00:00-04:00,5.659999847412109,11.0,3.140000104904175,6.328200340270996,2.7638673782348633,3373.429931640625,11042.5,30.923377990722656
2020-08-14 00:00:00-04:00,5.71999979019165,11.149999618530273,3.0899999141693115,6.306323051452637,2.7384226322174072,3372.85009765625,11019.2998046875,31.2176456451416
2020-08-17 00:00:00-04:00,5.440000057220459,10.779999732971191,3.0999999046325684,6.268036365509033,2.687535047531128,3381.989990234375,11129.73046875,31.037818908691406
2020-08-18 00:00:00-04:00,5.440000057220459,10.880000114440918,3.069999933242798,6.328200340270996,2.7543258666992188,3389.780029296875,11210.83984375,30.645463943481445
2020-08-19 00:00:00-04:00,5.46999979019165,10.890000343322754,3.049999952316284,6.317261695861816,2.709798812866211,3374.85009765625,11146.4599609375,30.293960571289062
2020-08-20 00:00:00-04:00,5.46999979019165,10.90999984741211,3.0199999809265137,6.202402591705322,2.6652708053588867,3385.510009765625,11264.9501953125,29.64000701904297
2020-08-21 00:00:00-04:00,5.349999904632568,10.989999771118164,3.0,6.169585704803467,2.6239240169525146,3397.159912109375,11311.7998046875,29.452003479003906
2020-08-24 00:00:00-04:00,5.400000095367432,11.029999732971191,2.9100000858306885,6.306323051452637,2.687535047531128,3431.280029296875,11379.7197265625,30.261253356933594
2020-08-25 00:00:00-04:00,5.550000190734863,11.1899995803833,2.990000009536743,6.344609260559082,2.7002570629119873,3443.6201171875,11466.4697265625,29.836193084716797
2020-08-26 00:00:00-04:00,5.559999942779541,11.4399995803833,2.9100000858306885,6.240689754486084,2.582577705383301,3478.72998046875,11665.0595703125,29.20677947998047
2020-08-27 00:00:00-04:00,5.380000114440918,11.510000228881836,2.9200000762939453,6.1641154289245605,2.601660966873169,3484.550048828125,11625.33984375,29.263999938964844
2020-08-28 00:00:00-04:00,5.710000038146973,11.989999771118164,2.990000009536743,6.382895469665527,2.703437566757202,3508.010009765625,11695.6298828125,29.787155151367188
2020-08-31 00:00:00-04:00,5.579999923706055,11.489999771118164,2.869999885559082,6.229750633239746,2.598480701446533,3500.31005859375,11775.4599609375,29.141380310058594
2020-09-01 00:00:00-04:00,5.639999866485596,11.779999732971191,2.9200000762939453,6.519632816314697,2.7606866359710693,3526.64990234375,11939.669921875,28.945201873779297
2020-09-02 00:00:00-04:00,5.539999961853027,11.760000228881836,2.8299999237060547,6.475877285003662,2.767047643661499,3580.840087890625,12056.4404296875,28.806236267089844
2020-09-03 00:00:00-04:00,5.519999980926514,11.90999984741211,2.6600000858306885,6.421182155609131,2.7988522052764893,3455.06005859375,11458.099609375,28.593700408935547
2020-09-04 00:00:00-04:00,5.420000076293945,11.960000038146973,2.5199999809265137,6.328200340270996,2.8020339012145996,3426.9599609375,11313.1298828125,28.503787994384766
2020-09-08 00:00:00-04:00,5.440000057220459,11.930000305175781,2.3450000286102295,6.021909713745117,2.6716325283050537,3331.840087890625,10847.6904296875,27.46565055847168
2020-09-09 00:00:00-04:00,5.409999847412109,11.960000038146973,2.259999990463257,6.120359897613525,2.7543258666992188,3398.9599609375,11141.5595703125,27.653663635253906
2020-09-10 00:00:00-04:00,5.159999847412109,11.899999618530273,2.450000047683716,5.928928375244141,2.6525492668151855,3339.18994140625,10919.58984375,26.640045166015625
2020-09-11 00:00:00-04:00,5.170000076293945,11.829999923706055,2.450000047683716,5.961745262145996,2.6334657669067383,3340.969970703125,10853.5498046875,26.664567947387695
2020-09-14 00:00:00-04:00,5.059999942779541,11.460000038146973,2.3299999237060547,5.934398174285889,2.6334657669067383,3383.5400390625,11056.650390625,26.868928909301758
2020-09-15 00:00:00-04:00,5.119999885559082,11.479999542236328,2.4600000381469727,5.989091873168945,2.6302850246429443,3401.199951171875,11190.3203125,26.672744750976562
2020-09-16 00:00:00-04:00,4.849999904632568,10.729999542236328,2.4100000858306885,6.0711350440979,2.677993059158325,3385.489990234375,11050.4697265625,27.743574142456055
2020-09-17 00:00:00-04:00,4.550000190734863,10.649999618530273,2.259999990463257,6.065665245056152,2.7288811206817627,3357.010009765625,10910.2802734375,27.784452438354492
2020-09-18 00:00:00-04:00,4.460000038146973,10.720000267028809,2.3499999046325684,6.065665245056152,2.6112027168273926,3319.469970703125,10793.2802734375,27.473831176757812
2020-09-21 00:00:00-04:00,4.130000114440918,10.619999885559082,2.1700000762939453,5.797660827636719,2.509425640106201,3281.06005859375,10778.7998046875,26.563180923461914
2020-09-22 00:00:00-04:00,3.880000114440918,10.430000305175781,2.0799999237060547,5.753904342651367,2.4935240745544434,3315.570068359375,10963.6396484375,26.28898811340332
2020-09-23 00:00:00-04:00,3.6600000858306885,9.550000190734863,2.0899999141693115,5.5843505859375,2.372663974761963,3236.919921875,10632.990234375,25.1008358001709
2020-09-24 00:00:00-04:00,3.8399999141693115,10.140000343322754,2.2100000381469727,5.557002544403076,2.4267330169677734,3246.590087890625,10672.26953125,25.092519760131836
